Código (SKU);Descrição;Preço;URL imagem externa 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000083-3;Placa Mãe Asus Tuf Gaming Z690-plus Socket Lga 1700 / Ddr5;2499;https://http2.mlstatic.com/D_652597-MLU54960148173_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000084;PLACA MAE (INTEL) ASUS PRIME Z690-P D4 DDR4 LGA1700 12° GERACAO, Preto, 90MB18P0-M0EAY0;2490;https://http2.mlstatic.com/D_810022-MLB49422006967_032022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000085;Placa Mãe Asus Rog Strix Z690-a Gaming Wifi Ddr5 1700 12 13ª Cor Branca;3675;https://http2.mlstatic.com/D_850649-MLU70530127545_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000086;PLACA MAE GIGABYTE Z690 UD (REV. 1.0), INTEL LGA 1700, ATX, DDR5;2079;https://http2.mlstatic.com/D_876349-MLU54966539214_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000086-5;Placa Mãe Gigabyte Z690 Ud M.2 Ddr4 Lga1700;1690;https://http2.mlstatic.com/D_936134-MLB73060216809_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000086-6;Placa Mãe Gigabyte Z690 Ud Ax Ddr4 Intel Lga 1700 Atx;1965;https://http2.mlstatic.com/D_780067-MLB48811635296_012022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000087;Placa Mãe Asus Tuf Gaming Z690-plus Socket Lga 1700 / Ddr5;2298;https://http2.mlstatic.com/D_779444-MLB53988190370_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000087-1;Placa Mae Asus Tuf  Z690-plus Wifi Ddr5 12ªger;2310;https://http2.mlstatic.com/D_743576-MLB52184178947_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000088;ASUS Placa-mãe ATX Prime Z790-A WiFi 6E LGA 1700 DDR5;3130;https://http2.mlstatic.com/D_919253-MLU69345291536_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000089;GIGABYTE Z790 UD AC (LGA 1700/ Intel Z790/ ATX/ DDR5/ Triple M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Tipo-C/Intel Wi-Fi/ 2.5GbE LA;1755;https://http2.mlstatic.com/D_904571-MLB54304099201_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
